,source,title,url
0,dissidentvoice.org,"The CIA Wins: Harvard, Chelsea Manning and Visiting Fellowships",https://dissidentvoice.org/2017/09/the-cia-wins-harvard-chelsea-manning-and-visiting-fellowships/
1,Boston Herald,CIA director cancels Harvard speech over 'traitor' Manning,http://www.bostonherald.com/news/national/2017/09/cia_director_cancels_harvard_speech_over_traitor_manning
2,New Delhi Times - India's leading opinion based newspaper,CIA director cancels Harvard speech over 'traitor' Manning   -    New Delhi Times   -   India's Only International Newspaper,https://www.newdelhitimes.com/cia-director-cancels-harvard-speech-over-traitor-manning/
3,RT,Assange trolls 'triggered' Pompeo for 'WikiLeaks an enemy of the US' claim  --  RT America,https://www.rt.com/usa/403453-assange-trolls-pompeo-wikileaks/
4,Newsline,Assange trolls 'triggered' Pompeo for 'WikiLeaks an enemy of the US' claim - Newsline,https://newsline.com/assange-trolls-triggered-pompeo-for-wikileaks-an-enemy-of-the-us-claim/
5,Irish Examiner,Latest: Harvard scraps title for Chelsea Manning following CIA chief protest,http://www.irishexaminer.com/breakingnews/world/latest-harvard-scraps-title-for-chelsea-manning-following-cia-chief-protest-806051.html
6,The Daily Caller,'American Traitor' Chelsea Manning Loses Harvard Fellowship,http://dailycaller.com/2017/09/15/american-traitor-chelsea-manning-loses-harvard-fellowship/
7,Military.com,CIA Director Cancels Harvard Speech Over 'Traitor' Manning,http://www.military.com/daily-news/2017/09/15/cia-director-cancels-harvard-speech-traitor-manning.html
8,Post Register,CIA director cancels speech over 'traitor' Manning,http://www.postregister.com/articles/nation-world/2017/09/15/cia-director-cancels-speech-over-%E2%80%98traitor%E2%80%99-manning
9,Belfast Telegraph,CIA director cancels speech after Harvard gives Chelsea Manning fellowship,http://www.belfasttelegraph.co.uk/news/world-news/cia-director-cancels-speech-after-harvard-gives-chelsea-manning-fellowship-36134431.html
10,The Indian Express,CIA Director cancels Harvard talk over hiring of Chelsea Manning,http://indianexpress.com/article/world/cia-director-cancels-harvard-talk-over-hiring-of-chelsea-manning-4844554/
11,Boston Herald,Pompeo ditches Harvard speech over Manning,http://www.bostonherald.com/news/local_coverage/2017/09/pompeo_ditches_harvard_speech_over_manning
12,Boston.com,CIA director cancels Harvard speech over 'traitor' Chelsea Manning,https://www.boston.com/news/national-news/2017/09/14/cia-director-cancels-harvard-speech-over-traitor-chelsea-manning
13,The Day,CIA director cancels Harvard speech over 'traitor' Manning,http://www.theday.com/article/20170914/NWS12/170919589
14,theweek.com,CIA director skips Harvard speech because of 'traitor' Chelsea Manning,http://theweek.com/speedreads/724802/cia-director-skips-harvard-speech-because-traitor-chelsea-manning
15,Eagle-Tribune,CIA director cancels Harvard speech over 'traitor' Manning,http://www.eagletribune.com/region/cia-director-cancels-harvard-speech-over-traitor-manning/article_03952c9e-1077-5f41-b69b-dd43a2e3e3ac.html
16,Medicine Hat News,CIA director cancels Harvard speech over 'traitor' Manning,http://medicinehatnews.com/news/world-news/2017/09/14/cia-director-cancels-harvard-speech-over-traitor-manning/
17,Dothan Eagle,CIA director cancels Harvard speech over 'traitor' Manning,http://www.dothaneagle.com/news/ap/politics/cia-director-cancels-harvard-speech-over-traitor-manning/article_d752084a-5df4-560b-a75a-8eac6414de28.html
18,Economic Times,CIA director cancels Harvard speech over 'traitor' Manning,http://economictimes.indiatimes.com/news/international/world-news/cia-director-cancels-harvard-speech-over-traitor-manning/articleshow/60522225.cms
19,Associated Press,CIA director cancels Harvard speech over 'traitor' Manning,http://hosted.ap.org/dynamic/stories/U/US_CIA_HARVARD_MAOL-?SITE=INELK&SECTION=HOME&TEMPLATE=DEFAULT
20,Honolulu Star-Advertiser,CIA director cancels Harvard speech over 'traitor' Manning,http://www.staradvertiser.com/2017/09/14/breaking-news/cia-director-cancels-harvard-speech-over-traitor-manning/
21,lethbridgeherald.com,Pompeo cancels Harvard speech over Manning - The Lethbridge Herald - News and Sports from around Lethbridge,http://lethbridgeherald.com/news/world-news/2017/09/14/pompeo-cancels-harvard-speech-over-manning/
22,Associated Press,CIA director cancels Harvard speech over 'traitor' Manning,http://hosted.ap.org/dynamic/stories/U/US_CIA_HARVARD_MAOL-?SITE=ORCOO&SECTION=HOME&TEMPLATE=DEFAULT
