,id,title
0,0,Is It Time To Quit Your Job?
1,1,Is It Time To Quit Your Job? @themotleyfool #stocks 
2,2,OMC seeks to replace three transformative leaders
3,3,Robot radiology: Low-cost AI could screen for cervical cancer better than humans
4,4,New tech promises easier cervical cancer screening
5,5,Why more kids now wear eyeglasses
6,6,Manhattan man scammed out of $15G from 'Burning Man' pal
7,7,Power relations in New Turkey and the naked truth
8,8,Life on Mars? NASA-backed test subjects end eight months of isolation
9,9,Life on Mars? NASA-backed test subjects end eight months of isolation
10,10,Life on Mars? NASA-backed test subjects end eight months of isolation
11,11,Community News and Notes
12,12,Chaos is a Ladder
13,13,"Blue light from your cell phone, laptop may be causing skin damage | Inquirer lifestyle"
14,14,Toronto Diary: Ethan Hawke plays a man of the cloth in the haunting 'First Reformed'
15,15,Apple 'spaceship' nestled in Earthly oasis | Gadgets Now
16,16,Drug Designing Tools Market Size to Grow Steadily during Forecast period ( 2017-2027)
17,17,"Apple 'spaceship' headquarters reflect company's values, says Tim Cook"
18,18,Apple 'spaceship' nestled in Earthly oasis
19,19,Expert thoughts on the future of artificial intelligence and machine learning
20,20,"Frederick Wiseman's Utopian Vision of Libraries in ""Ex Libris"""
21,21,'I was in shock': Ottawa mom sparks debate over pornography in libraries
22,22,Apple 'spaceship' nestled in Earthly oasis
23,23,4-10% of encrypted web connections are man-in-the-middled and intercepted
24,24,"Computers could replace doctors, Jeremy Hunt says"
25,25,Jemele Hill on the Fight for the Future of ESPN
26,26,Think iPhone X stole the show? Apple's new 'spaceship' is equally stunning
27,27,Apple 'spaceship' nestled in Earthly oasis
28,28,Apple 'spaceship' nestled in Earthly oasis
29,29,Apple 'spaceship' nestled in Earthly oasis  - The Nation
30,30,Apple 'spaceship' nestled in earthly oasis
31,31,Apple 'spaceship' nestled in Earthly oasis
32,32,Apple 'spaceship' nestled in Earthly oasis
33,33,Apple 'spaceship' nestled in Earthly oasis
34,34,"Computers will replace doctors in just ten years, says Jeremy Hunt"
35,35,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
36,36,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
37,37,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
38,38,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
39,39,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
40,40,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
41,41,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
42,42,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
43,43,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
44,44,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
45,45,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
46,46,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
47,47,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
48,48,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
49,49,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
50,50,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
51,51,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
52,52,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
53,53,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
54,54,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
55,55,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
56,56,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
57,57,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
58,58,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
59,59,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
60,60,"Illnesses diagnosed by computer in little more than 10 years, says..."
61,61,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
62,62,"Illnesses diagnosed by computer in little more than 10 years, says Jeremy Hunt"
63,63,"Patients' illnesses could soon be diagnosed by AI, NHS leaders say"
64,64,Apple's iPhone X: Will It Be Enough to Keep Tim Cook on Top?
65,65,(EXCLUSIVE) Blago: His Life in Prison
66,66,"Refworld | Uzbekistan: Religious freedom survey, September 2017"
67,67,Recent Kansas Editorials
68,68,Recent Kansas Editorials
69,69,Recent Kansas Editorials
70,70,Recent Kansas Editorials
