source,reputation,articles,size
weaselzippers.us,-1,[],100
lifezette.com,-1,[],100
disclose.tv,-1,[],100
thefifthcolumnnews.com,-1,[],100
viraltube.nl,-1,[],100
thereporterz.com,-1,[],100
yellowhammernews.com,-1,[],100
amusmentic.com,-1,[],100
jewsnews.co.il,-1,[],100
conservativepapers.com,-1,[],100
pakalertpress.com,-1,[],100
newsleak.co,-1,[],100
callthecops.net,-1,[],100
NutritionalAnarchy.com,-1,[],100
progressivestoday.com,-1,[],100
nationonenews.com,-1,[],100
therealstrategy.com,-1,[],100
infowars.com,-1,[],100
globalpoliticsnow.com,-1,[],100
huzlers.com,-1,[],100
madpatriots.com,-1,[],100
uslifetoday.com,-1,[],100
politicalsitenews.com,-1,[],100
washington post,0.64,[],100
galacticconnection.com,-1,[],100
FreeBeacon.com,-1,[],100
electionnightgatekeepers.com,-1,[],100
newsexaminer.net,-1,[],100
denverguardian.com,-1,[],100
themadisonmisnomer.com,-1,[],100
christiantimesnewspaper.com,-1,[],100
the sean hannity show,-0.5,[],100
yesimright.com,-1,[],100
usconservativetoday.com,-1,[],100
immediatesafety.org,-1,[],100
knowledgeoftoday.org,-1,[],100
conservativeflashnews.com,-1,[],100
dailyinfobox.com,-1,[],100
redstatewatcher.com,-1,[],100
thestatelyharold.com,-1,[],100
magafeed.com,-1,[],100
oathkeepers.org,-1,[],100
yourfunpage.com,-1,[],100
sportspickle.com,-1,[],100
adobochronicles.com,-1,[],100
konkonsagh.biz,-1,[],100
thevalleyreport.com,-1,[],100
johnnyrobish.com,-1,[],100
regated.com,-1,[],100
firearmscoalition.org,-1,[],100
NationalUFOCenter.com,-1,[],100
cbs,0,[],100
palmerreport.com,-1,[],100
winningdemocrats.com,-1,[],100
investmentwatchblog.com,-1,[],100
usasnich.com,-1,[],100
dailypoliticsusa.com,-1,[],100
conspiracyplanet.com,-1,[],100
AutomaticEarth.com,-1,[],100
gummypost.com,-1,[],100
rightalert.com,-1,[],100
denver post,0.66,[],100
X22Report.com,-1,[],100
mintpressnews.com,-1,[],100
russia-insider.com,-1,[],100
theinformedamerican.net,-1,[],100
islamicanews.com,-1,[],100
washingtonexaminer.com,-1,[],100
thetruthaboutcancer.com,-1,[],100
rawstory.com,-1,[],100
informationclearinghouse.info,-1,[],100
Willyloman.wordpress.com,-1,[],100
satiratribune.com,-1,[],100
usafirstinformation.com,-1,[],100
thenewyorkevening.com,-1,[],100
